profile_id,city,color,scenario,p99_theta,p99_brut,output_mean,mean_loss,scaffold_benefit
P1,Frankfurt,#D85A30,baseline,924.01,924.01,1398.8422,601.1577,-0.026389
P1,Frankfurt,#D85A30,G0,2123.75,1699.0,1783.8525,572.918,-0.026389
P1,Frankfurt,#D85A30,G1,1857.6,1548.0,1688.9613,592.5322,-0.026389
P1,Frankfurt,#D85A30,G2,1458.3072,1302.06,1581.699,587.7687,-0.026389
P2,London,#378ADD,baseline,635.01,635.01,1599.088,400.912,1.461685
P2,London,#378ADD,G0,1667.525,1334.02,1865.7019,507.4385,1.461685
P2,London,#378ADD,G1,1330.86,1109.05,1807.2096,493.992,1.461685
P2,London,#378ADD,G2,1034.919,877.05,1826.3459,452.2493,1.461685
P3,Paris,#B5403F,baseline,686.03,686.03,1597.7125,402.2875,0.767954
P3,Paris,#B5403F,G0,2041.275,1633.02,1899.0038,480.797,0.767954
P3,Paris,#B5403F,G1,1648.836,1374.03,1820.6427,482.7978,0.767954
P3,Paris,#B5403F,G2,1302.7318,1104.01,1832.8205,446.7622,0.767954
P4,Brussels,#534AB7,baseline,1121.0,1121.0,1198.12,801.88,-0.074642
P4,Brussels,#534AB7,G0,2253.775,1803.02,1753.5172,597.1862,-0.074642
P4,Brussels,#534AB7,G1,2008.8,1674.0,1638.9042,634.2465,-0.074642
P4,Brussels,#534AB7,G2,1610.433,1464.03,1456.6128,675.8065,-0.074642
P5,San Francisco,#639922,baseline,958.01,958.01,1346.5285,653.4715,-0.362002
P5,San Francisco,#639922,G0,2153.7625,1723.01,1915.3791,467.6968,-0.362002
P5,San Francisco,#639922,G1,1988.424,1657.02,1805.3553,495.5372,-0.362002
P5,San Francisco,#639922,G2,1667.5416,1544.02,1624.539,495.7973,-0.362002
P6,Singapore,#1D9E75,baseline,1084.0,1084.0,1197.9053,802.0947,0.395948
P6,Singapore,#1D9E75,G0,1845.0125,1476.01,1949.5922,440.3263,0.395948
P6,Singapore,#1D9E75,G1,1660.86,1384.05,1797.5019,502.0817,0.395948
P6,Singapore,#1D9E75,G2,1339.833,1218.03,1556.6711,584.8445,0.395948
P7,Bangalore,#BA7517,baseline,1407.0,1407.0,897.7845,1102.2155,-0.264468
P7,Bangalore,#BA7517,G0,2310.0,1848.0,1862.8109,509.7513,-0.264468
P7,Bangalore,#BA7517,G1,2164.824,1804.02,1720.5804,566.183,-0.264468
P7,Bangalore,#BA7517,G2,1809.71,1757.0,1461.124,581.433,-0.264468
P8,Seoul,#888780,baseline,1203.02,1203.02,1148.5348,851.4652,-0.063554
P8,Seoul,#888780,G0,2317.5,1854.0,1900.2409,479.8073,-0.063554
P8,Seoul,#888780,G1,2084.4,1737.0,1750.1565,541.5362,-0.063554
P8,Seoul,#888780,G2,1700.633,1546.03,1519.446,618.6855,-0.063554
