profile_num,profile_label,scenario,E_L,P99_L,P99_theta,Output,h_bar,var_tau,follow_rate,p0_eff_mean,excess_coerror
1,bigfour_continental,G0,570.1825,1697.0199999999995,2121.2749999999996,1787.271875,0.5691411427901281,0.026937924317823,0.7561472499999999,0.8409214927648304,0.06441298555276383
1,bigfour_continental,G1,590.19625,1537.0099999999998,1844.4119999999996,1691.7645,0.5873358058397842,0.029219982208691403,0.6367048750000001,0.7237443170550919,0.04924628103015075
1,bigfour_continental,G2,585.939,1283.0,1436.96,1583.7483200000001,0.6569012983583238,0.03390352652310865,0.45868925,0.5495122366709689,0.033539776381909546
1,bigfour_continental,baseline,601.15775,924.0099999999998,924.0099999999998,1398.84225,0.6994199875845698,0.04159864967869846,0.0,0.0,0.035309975879396986
2,bank_international,G0,492.1715,1199.0199999999995,1498.7749999999994,1884.785625,0.6794164502106331,0.04032527718901306,0.58602725,0.697654455868721,0.051257206030150756
2,bank_international,G1,482.65075,1026.0699999999983,1231.283999999998,1820.8191000000002,0.7090306929755905,0.04267731440246543,0.429696,0.5437342235371425,0.03300583718592964
2,bank_international,G2,444.56175,817.0199999999995,964.0835999999994,1835.4171349999997,0.768581271543166,0.04940650134364522,0.28756612500000006,0.4064580333360763,0.02185834183417085
2,bank_international,baseline,400.912,635.0099999999998,635.0099999999998,1599.088,0.7991908966228312,0.05537617498579181,0.0,0.0,0.019405983417085423
3,conseil_elite,G0,496.7665,1599.0099999999998,1998.7624999999998,1879.041875,0.6581409674712921,0.02527093519648413,0.713896,0.7951024694777814,0.053833177135678395
3,conseil_elite,G1,494.70425,1324.0099999999998,1588.8119999999997,1806.3548999999998,0.6900674929416672,0.02758728879771871,0.5368477500000001,0.6203288181997518,0.03594705967336684
3,conseil_elite,G2,454.976,1057.0099999999998,1247.2717999999998,1823.1283199999998,0.7591721660183695,0.03210272491757125,0.380789625,0.4679119904961601,0.02514945138190955
3,conseil_elite,baseline,402.2875,686.0299999999993,686.0299999999993,1597.7125,0.7997208355026547,0.0399748337199922,0.0,0.0,0.02462662211055276
4,juridique_continental,G0,618.9505,1789.0,2236.25,1726.311875,0.5383754257550245,0.028826699540768743,0.793766,0.8828254140130906,0.06724867135678392
4,juridique_continental,G1,652.5715,1654.0,1984.8,1616.9141999999997,0.5466992185389314,0.03109851650160507,0.675750125,0.7669965910458293,0.05165319108040201
4,juridique_continental,G2,689.294,1443.0099999999998,1587.311,1441.7766000000001,0.5801034820249698,0.036115017128653525,0.498674625,0.5939692209366313,0.03566881118090453
4,juridique_continental,baseline,801.88,1121.0,1121.0,1198.12,0.5991106506621328,0.04363460623196589,0.0,0.0,0.03879556608040201
5,startup_tech,G0,442.1325,1516.0699999999983,1895.0874999999978,1947.334375,0.4822651108039872,0.0311799849570418,0.82487475,0.9190177408768031,0.07061537198492462
5,startup_tech,G1,471.55125,1475.0099999999998,1770.0119999999997,1834.1385,0.494271581292438,0.03355679684933929,0.7623595000000001,0.858522124341295,0.061672655904522616
5,startup_tech,G2,494.7535,1348.0,1455.8400000000001,1625.66622,0.5916175354069304,0.03894656775371001,0.6386298750000001,0.7392391849954524,0.04634712236180905
5,startup_tech,baseline,653.4715,958.0099999999998,958.0099999999998,1346.5285,0.6744802476159313,0.04608249147142701,0.0,0.0,0.03399920891959799
6,agence_creative,G0,432.72025,1120.0699999999983,1400.0874999999978,1959.0996875,0.5452590217138971,0.04032527718901306,0.685735,0.7973193781356813,0.04321415942211056
6,agence_creative,G1,495.578,1082.0,1298.3999999999999,1805.3064,0.5530507043940215,0.04267731440246543,0.5782526250000001,0.6920253754109085,0.034459641959798996
6,agence_creative,G2,580.205,1006.0,1106.6000000000001,1561.7745,0.5831725244520372,0.04940650134364522,0.41329475000000004,0.5322664722258141,0.025777231658291457
6,agence_creative,baseline,802.09475,1084.0,1084.0,1197.90525,0.5989211954971082,0.05537617498579181,0.0,0.0,0.03296261570351759
7,backoffice_csp,G0,516.4045,1689.0099999999998,2111.2625,1854.494375,0.29379748730281885,0.03481587646279214,0.789580625,0.8908697325730828,0.056931726758793974
7,backoffice_csp,G1,572.26175,1645.079999999998,1974.0959999999977,1713.2858999999999,0.3032330978377296,0.03711942232774034,0.728555375,0.8320211502072097,0.04963905716080402
7,backoffice_csp,G2,587.2535,1603.0,1651.0900000000001,1455.128895,0.3728551455914703,0.04323406422209338,0.68833225,0.7964063593219123,0.045607516206030145
7,backoffice_csp,baseline,1102.2155,1407.0,1407.0,897.7845,0.4495993671736497,0.04979651651806574,0.0,0.0,0.03889433806532665
8,admin_concours,G0,519.0035,1849.0099999999998,2311.2625,1851.245625,0.45793829091421856,0.02409979532296793,0.8392006249999999,0.9175017048361049,0.0644802114321608
8,admin_concours,G1,581.66525,1728.0,2073.6,1702.0017,0.4727262236554101,0.0263958315900171,0.7169516249999999,0.7972934544496485,0.04996197072864322
8,admin_concours,G2,647.32525,1514.0199999999995,1665.4219999999996,1487.942225,0.5343149152184661,0.0307516195710811,0.535354625,0.6190843739351881,0.03554825351758794
8,admin_concours,baseline,851.46525,1203.0199999999995,1203.0199999999995,1148.53475,0.57507401451114,0.038820662697093174,0.0,0.0,0.04510264635678393
